Year,Citations
1980,0
1981,0
1982,1
1983,3
1984,0
1985,4
1986,1
1987,3
1988,3
1989,5
1990,7
1991,23
1992,10
1993,17
1994,29
1995,45
1996,50
1997,50
1998,56
1999,74
2000,77
2001,113
2002,125
2003,140
2004,196
2005,196
2006,296
2007,267
2008,306
2009,364
2010,390
2011,476
2012,567
2013,745
